Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals,
1,0.572,0,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
2,0.57213005,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
3,0.57226015,0.0001301,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
4,0.6719942,0.09973405,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
5,0.6721243,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
6,0.6722544,0.0001301,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
7,0.7720002,0.0997458,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
8,0.7721303,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
9,0.7722604,0.0001301,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
10,0.8720023,0.0997419,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
11,0.8721324,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
12,0.87226245,0.00013005,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
13,0.9720024,0.09973995,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
14,0.97213245,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
15,0.97226255,0.0001301,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
16,1.0719986,0.09973605,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
17,1.0721287,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
18,1.0722588,0.0001301,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
19,1.1719988,0.09974,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
20,1.17212885,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
21,1.17225895,0.0001301,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
22,1.27200085,0.0997419,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
23,1.27213095,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
24,1.272261,0.00013005,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
25,1.37200535,0.09974435,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
26,1.37213495,0.0001296,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
27,1.372265,0.00013005,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
28,1.4720055,0.0997405,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
29,1.4721351,0.0001296,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
30,1.4722652,0.0001301,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
31,1.5720056,0.0997404,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
32,1.5721352,0.0001296,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
33,1.57226525,0.00013005,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
34,1.67200765,0.0997424,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
35,1.67213775,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
36,1.67226735,0.0001296,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
37,1.7720078,0.09974045,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
38,1.7721379,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
39,1.7722674,0.0001295,67108864,F,F,Bench_E,Simformation,dSpace,C5,F,F,94,11,,,,,,,,,MPHSpeed,45
40,1.8720079,0.0997405,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
